3196	THRB	DGIDB
561679	CRHR1	DGIDB
659032	PLA2G7	DRUGBANK
681323	IL1B	DRUGBANK
681323	IL6	DRUGBANK
681323	TNF	DRUGBANK
751689	ADGRF1	DRUGBANK
751689	CASR	DRUGBANK
768974	PTH1R	DGIDB
&ALPHA;&BETA;-MEATP	P2RX1	DGIDB
&ALPHA;&BETA;-MEATP	P2RX3	DGIDB
&ALPHA;&BETA;-METHYLENEADP	NT5E	DGIDB
&ALPHA;.&BETA;-METHYLENE-2-THIO-UDP	P2RY14	DGIDB
&ALPHA;3IA	GABRA1	DGIDB
&ALPHA;3IA	GABRA2	DGIDB
&ALPHA;3IA	GABRA3	DGIDB
&ALPHA;3IA	GABRA5	DGIDB
&ALPHA;5IA	GABRA1	DGIDB
&ALPHA;5IA	GABRA2	DGIDB
&ALPHA;5IA	GABRA3	DGIDB
&ALPHA;5IA	GABRA5	DGIDB
&ALPHA;-BUNGAROTOXIN	CHRNA1	DGIDB
&ALPHA;-BUNGAROTOXIN	CHRNA10	DGIDB
&ALPHA;-BUNGAROTOXIN	CHRNA7	DGIDB
&ALPHA;-BUNGAROTOXIN	CHRNA9	DGIDB
&ALPHA;-CGRP	CALCR	DGIDB
&ALPHA;-CONOTOXIN ARIB	CHRNA7	DGIDB
&ALPHA;-CONOTOXIN AUIB	CHRNA3	DGIDB
&ALPHA;-CONOTOXIN GI	CHRNA1	DGIDB
&ALPHA;-CONOTOXIN IMI	CHRNA7	DGIDB
&ALPHA;-CONOTOXIN MI	CHRNA1	DGIDB
&ALPHA;-CONOTOXIN MII	CHRNA3	DGIDB
&ALPHA;-CONOTOXIN MII	CHRNA5	DGIDB
&ALPHA;-CONOTOXIN MII	CHRNA6	DGIDB
"&ALPHA;-CONOTOXIN MII [H9A, L15A]"	CHRNA6	DGIDB
&ALPHA;-CONOTOXIN PIA	CHRNA6	DGIDB
&ALPHA;-CONOTOXIN PNIA	CHRNA3	DGIDB
&ALPHA;-CONOTOXIN PNIA	CHRNA5	DGIDB
&ALPHA;-CONOTOXIN RGIA	CHRNA10	DGIDB
&ALPHA;-CONOTOXIN RGIA	CHRNA9	DGIDB
&ALPHA;-CONOTOXIN TXIA	CHRNA3	DGIDB
&ALPHA;-CONOTOXIN TXIA	CHRNA5	DGIDB
&ALPHA;-CONOTOXIN-GIC	CHRNA3	DGIDB
&ALPHA;-CONOTOXIN-GIC	CHRNA5	DGIDB
&ALPHA;-DENDROTOXIN	KCNA6	DGIDB
&ALPHA;-FLUOROMETHYLENEPHOSPHONATE	LPAR3	DGIDB
&ALPHA;-HELICAL CRF	CRHR1	DGIDB
&ALPHA;-KETOGLUTARIC ACID	OXGR1	DGIDB
&ALPHA;-LINOLENIC ACID	FFAR1	DGIDB
&ALPHA;-METHYL-5-HT	HTR1D	DGIDB
&ALPHA;-METHYL-5-HT	HTR1E	DGIDB
&ALPHA;-METHYL-5-HT	HTR1F	DGIDB
&ALPHA;-METHYL-5-HT	HTR2A	DGIDB
&ALPHA;-METHYL-5-HT	HTR2B	DGIDB
&ALPHA;-METHYL-5-HT	HTR2C	DGIDB
&ALPHA;-METHYL-5-HT	HTR4	DGIDB
"&ALPHA;-METHYL-D,L-TRYPTOPHAN"	SLC36A2	DGIDB
"&ALPHA;-METHYL-D,L-TRYPTOPHAN"	SLC6A14	DGIDB
&ALPHA;-METHYLNORADRENALINE	ADRA1D	DGIDB
&ALPHA;-MSH	MC1R	DGIDB
&ALPHA;-MSH	MC3R	DGIDB
&ALPHA;-MSH	MC4R	DGIDB
&ALPHA;-MSH	MC5R	DGIDB
&ALPHA;-NEOENDORPHIN	OPRK1	DGIDB
&ALPHA;-PROPYLDOPACETAMIDE	TH	DGIDB
&ALPHA;-PROPYLDOPACETAMIDE	TPH1	DGIDB
&ALPHA;-PROPYLDOPACETAMIDE	TPH2	DGIDB
&BETA;<SUP>3</SUP>-TETRAPEPTIDE	SSTR4	DGIDB
&BETA;-ALANINE	MRGPRD	DGIDB
&BETA;-CGRP	CALCR	DGIDB
&BETA;-D-HYDROXYBUTYRIC ACID	HCAR2	DGIDB
&BETA;-ENDORPHIN	OPRD1	DGIDB
&BETA;-ENDORPHIN	OPRK1	DGIDB
&BETA;-FNA	OPRD1	DGIDB
&BETA;-FNA	OPRK1	DGIDB
&BETA;-FNA	OPRM1	DGIDB
&BETA;-NEOENDORPHIN	OPRK1	DGIDB
&BETA;-PHENYLETHYLAMINE	TAAR1	DGIDB
&BETA;-SCORPION TOXIN CN2	SCN8A	DGIDB
&DELTA;<SUP>12</SUP>-PGJ<SUB>2</SUB>	PTGDR	DGIDB
&DELTA;<SUP>12</SUP>-PGJ<SUB>2</SUB>	PTGDR2	DGIDB
&DELTA;<SUP>9</SUP>-TETRAHYDROCANNABINOL	CNR1	DGIDB
&DELTA;<SUP>9</SUP>-TETRAHYDROCANNABINOL	CNR2	DGIDB
&DELTA;<SUP>9</SUP>-TETRAHYDROCANNABINOL	GLRA1	DGIDB
&DELTA;<SUP>9</SUP>-TETRAHYDROCANNABINOL	GLRA2	DGIDB
&DELTA;<SUP>9</SUP>-TETRAHYDROCANNABINOL	GLRA3	DGIDB
&DELTA;<SUP>9</SUP>-TETRAHYDROCANNABINOL	GPR18	DGIDB
&DELTA;<SUP>9</SUP>-TETRAHYDROCANNABINOL	GPR55	DGIDB
&DELTA;<SUP>9</SUP>-TETRAHYDROCANNABINOL	TRPA1	DGIDB
&DELTA;<SUP>9</SUP>-TETRAHYDROCANNABINOL	TRPM8	DGIDB
